192607   1.43  15.61   4.60  -1.17   2.90   0.83  -2.81   1.64   7.10   2.12
192608   4.00   3.64   2.79   3.31   2.66   2.17  -0.54   4.51  -1.74   4.36
192609   1.20   4.88   1.22  -3.37  -0.38   2.41   0.14   0.61   1.96   0.29
192610  -1.34  -8.22  -3.61  -0.78  -4.58  -0.11  -5.31  -0.73  -2.67  -2.85
192611   5.15  -0.20   4.14  -0.01   4.71   1.63   4.05   5.53   3.76   2.13
192612   0.84   9.91   3.70   2.81  -0.02   1.99   2.89   0.15  -0.12   3.39
192701  -0.64  -0.91  -0.06   1.20  -1.14   1.88  -3.19   4.91  -1.78   1.52
192702   3.37   8.88   5.80   1.42   4.45   3.97   4.55   1.65   4.57   5.04
192703   2.71   1.65   1.47  -5.95   1.45   5.56   2.85   0.88   0.44   1.26
192704   3.31   3.17   0.78  -5.11   5.40  -2.13   2.21   3.25   1.65   0.90
192705   8.17   5.92   5.09   4.80   7.37   3.35   0.63   4.01   9.31   6.40
192706  -1.74  -2.95  -2.79  -3.20   3.28  -2.14   0.21   0.45  -3.64  -2.10
192707   4.81  13.13  12.08   2.90  11.89   3.73   9.46   9.84   5.31   6.18
192708   2.74   7.02   2.89   0.00   5.79   0.43  13.08   0.28   3.43  -1.21
192709   5.31   5.73   4.76   3.33   1.42   6.53   5.12   5.65   8.29   4.75
192710  -0.81  -4.38  -6.69  -2.06  -7.19  -2.09  -6.01   5.13  -4.34  -3.80
192711   6.78   6.35  10.84   4.15  10.62   2.83  10.92   3.68   6.32   4.53
192712   2.47   7.78   3.05   0.89   1.18   1.33  -0.18  -0.46   2.24   1.99
192801   0.57  -3.34  -0.55  -1.86  -0.40   0.30  -0.56   2.69   5.87  -1.17
192802  -3.99   1.28  -1.90  -0.21  -0.45  -0.30  -1.67  -1.38  -0.68  -1.94
192803   4.36  27.63   8.21   5.37  19.22   1.96   8.78  10.54   6.62   6.05
192804  -0.45   1.42   1.49  15.12   2.23   3.22   0.52   2.35  10.94   4.09
192805   0.88   5.64   3.50  -5.26   2.57   6.61   3.97   9.27   1.51   0.09
192806  -4.35  -4.04  -4.91  -4.05  -5.13  -5.22  -4.10  -3.15  -3.43  -4.23
192807   1.84   0.87   2.00   0.98   0.63  -1.28   4.85   2.68  -1.15  -0.32
192808   5.95   9.06   8.60   2.38  10.06   4.55  11.68  15.11   6.46   4.77
192809   1.22   7.78   4.14   5.21   0.73   0.15   1.54  -1.50   3.35   1.94
192810   0.79   0.14   4.32   1.91   1.82   2.97   4.05  -0.08  -1.64  -0.32
192811   6.57   4.47  13.11  17.29  19.67   6.68  14.19   5.05  21.98  10.06
192812  -0.46  -1.25   3.04  -4.34   7.14  -0.38  -1.42  -0.28   1.52   0.47
192901   3.46   1.27  11.04  -7.68  10.44  13.38  -4.30   3.25  12.96   5.67
192902  -2.53  -0.11   3.37  -0.03  -0.72  -1.15  -2.51  -0.16  -2.10  -0.05
192903  -4.51  -1.83  -1.81  11.04   4.60   4.29  -5.76  -1.93  -3.10  -2.21
192904   1.85  -1.02   2.40   0.74   1.67   3.39   3.03   1.55   5.26   0.57
192905  -3.97 -15.03  -9.75  -5.55   0.46  -8.77  -7.35  -7.67   5.17   0.09
192906   5.32   6.93  13.29   1.14  17.04  13.70   8.03   4.13  23.43   5.81
192907   3.21  -2.91   4.13   0.36   9.15  13.69  -0.01   2.87   9.34   6.64
192908   4.81   3.03   9.48  11.64  12.35  10.99   7.07   4.04   9.23   7.89
192909  -3.68  -8.35  -7.25  -2.85  -7.49  -1.35  -4.57  -6.98   1.55  -6.47
192910 -10.36 -28.90 -19.50  -9.84 -27.79 -15.41 -23.88 -18.02 -29.86 -11.84
192911  -8.30 -17.30 -14.04  -6.29 -19.23  -9.47 -12.37  -8.53 -14.66  -9.62
192912   0.76   4.90   1.60  -0.97  11.02   1.00  -3.00   1.40   7.95  -0.40
193001   5.63   5.88   6.84  -0.91  10.42   1.19   3.41   2.24   7.21   4.56
193002   2.29   2.43   2.24  -4.47   7.63   7.06  -5.70   2.88   8.43   3.38
193003   2.25  11.43   6.88  17.48   8.28   8.83  -1.79   5.90   9.43   4.92
193004   0.60  -7.77  -7.48   6.66   2.10  -4.52   0.97   0.05   3.38  -6.56
193005   1.45   4.16  -1.84  -3.55  -4.36   0.40  -0.26  -1.22  -1.20  -0.94
193006 -11.05 -22.24 -16.45 -15.21 -19.65  -8.34 -15.09 -13.21 -19.06 -11.87
193007   3.11  12.09   4.77   5.12   4.07   1.27   3.15   6.12   1.82   3.56
193008   2.03  -1.90  -0.08  -3.19   2.23   1.74   4.36   8.08   1.59  -0.30
193009  -8.98 -16.71 -13.69 -15.46 -18.21  -5.26  -9.70  -8.71 -12.04 -10.37
193010  -4.79 -11.61  -9.98  -8.18 -17.31  -4.11  -8.62  -4.66  -8.71  -8.40
193011   0.14   5.45  -0.45  -3.74  -3.27  -3.28   2.82  -3.08  -8.07  -5.26
193012  -4.61  -1.25  -8.22 -12.23 -10.67  -3.80 -12.86  -7.30  -3.63  -8.87
193101   5.43   8.00   3.40   5.22   5.15   4.79   5.94   7.96   6.15  11.87
193102   6.85  17.38  12.92   5.60  22.37   5.95  16.13   8.59  15.44   5.43
193103  -1.74  -3.78  -6.77 -14.19  -7.58  -3.58  -4.51   1.81  -3.26  -9.55
193104  -5.11  -7.83 -14.14 -13.40 -12.93  -4.24  -4.49  -3.69  -9.95  -9.74
193105 -10.91 -16.11 -16.33 -12.51 -12.89  -8.94  -4.16  -9.97 -10.78 -17.58
193106  10.93  14.59  17.40  17.54  18.54  10.20   7.01   9.58  12.12  16.37
193107  -3.59  -2.02 -10.26  -3.32 -10.22  -4.88  -1.06   3.18  -5.21  -9.89
193108  -0.64  -2.74  -0.13   8.92   3.78   0.82   2.17   0.03  -1.99  -4.11
193109 -24.48 -34.78 -29.80 -25.98 -33.83 -21.56 -28.63 -29.95 -32.96 -26.25
193110   6.77  12.91   6.19  13.27  11.36   4.36  12.61  11.06  10.44   1.26
193111  -4.32  -3.48  -8.29 -10.06 -14.14  -6.83  -7.48  -2.45  -4.66 -18.61
193112  -9.71  -8.77 -15.39 -17.58 -13.34  -7.93 -13.58  -4.11 -13.29 -16.43
193201   2.04  -6.89  -0.52  -4.30 -11.55  -4.04   0.25  -3.00  -2.52   6.80
193202   5.31   2.18   6.09   7.81   6.23  11.63   3.22   2.80   6.98  -0.32
193203  -5.82 -22.22 -14.28  -0.60 -14.38  -9.90  -8.31  -6.87  -9.51 -15.90
193204 -11.28 -29.42 -23.08 -12.20 -24.12 -12.38 -14.65 -19.91 -15.59 -22.28
